name,price,imgLink,linkToShop
Counter-Strike: Global Offensive,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1668125812,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_7000_150_1
PUBG: BATTLEGROUNDS,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1673331963,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1
Apex Legends™,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1670431796,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1
War Thunder,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/236390/capsule_sm_120.jpg?t=1671733778,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_7000_150_1
Warframe,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/230410/capsule_sm_120.jpg?t=1671045081,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_7000_150_1
Dota 2,Free to Play,https://cdn.akamai.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1674071345,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1
